subject_country,migrated_country,region,total_migrant,male_migrant,female_migrant,18to24_migrant,25to34_migrant,35_to_54_migrant,55+_migrant
Argentina,Argentina,Americas,0,0,0,0,0,0,0
Argentina,Armenia,Asia,0,0,0,0,0,0,0
Argentina,Australia,Oceania,5000,2200,2600,0,2200,2400,0
Argentina,Austria,Europe,0,0,0,0,0,0,0
Argentina,Azerbaijan,Asia,0,0,0,0,0,0,0
Argentina,Bahrain,Asia,0,0,0,0,0,0,0
Argentina,Bangladesh,Asia,0,0,0,0,0,0,0
Argentina,Belarus,Europe,0,0,0,0,0,0,0
Argentina,Belgium,Europe,0,0,0,0,0,0,0
Argentina,Bosnia and Herzegovina,Europe,0,0,0,0,0,0,0
Argentina,Brazil,Americas,12000,5800,5400,1300,4200,5500,1200
Argentina,Brunei Darussalam,Asia,0,0,0,0,0,0,0
Argentina,Bulgaria,Europe,0,0,0,0,0,0,0
Argentina,Canada,Americas,4100,1900,2000,0,1000,2300,620
Argentina,Chile,Americas,12000,5900,5400,1100,3900,6000,1100
Argentina,China (Mainland),Asia,0,0,0,0,0,0,0
Argentina,Colombia,Americas,15000,7100,6900,1000,5500,7700,450
Argentina,Costa Rica,Americas,1200,600,560,0,430,540,0
Argentina,Croatia,Europe,0,0,0,0,0,0,0
Argentina,Cuba,Americas,0,0,0,0,0,0,0
Argentina,Cyprus,Asia,0,0,0,0,0,0,0
Argentina,Czechia,Europe,0,0,0,0,0,0,0
Argentina,Denmark,Europe,850,330,480,0,400,380,0
Argentina,Dominican Republic,Americas,940,400,420,0,0,480,0
Argentina,Ecuador,Americas,7800,4100,3300,920,2800,3800,350
Argentina,Egypt,Africa,0,0,0,0,0,0,0
Argentina,Estonia,Europe,0,0,0,0,0,0,0
Argentina,Ethiopia,Africa,0,0,0,0,0,0,0
Argentina,Finland,Europe,0,0,0,0,0,0,0
Argentina,France,Europe,4800,1900,2500,790,2000,1900,0
Argentina,Georgia,Asia,0,0,0,0,0,0,0
Argentina,Germany,Europe,2900,1300,1400,0,1100,1500,0
Argentina,Ghana,Africa,0,0,0,0,0,0,0
Argentina,Greece,Europe,0,0,0,0,0,0,0
Argentina,Guatemala,Americas,750,390,300,0,0,320,0
Argentina,Honduras,Americas,350,0,0,0,0,0,0
Argentina,"Hong Kong SAR, China",Asia,0,0,0,0,0,0,0
Argentina,Hungary,Europe,0,0,0,0,0,0,0
Argentina,Iceland,Europe,0,0,0,0,0,0,0
Argentina,India,Asia,1100,610,0,0,380,420,0
Argentina,Indonesia,Asia,970,330,0,0,450,0,0
Argentina,Iraq,Asia,0,0,0,0,0,0,0
Argentina,Ireland,Europe,0,0,0,0,0,0,0
Argentina,Israel,Asia,1500,760,680,0,360,690,440
Argentina,Italy,Europe,3400,1400,2000,0,1400,1500,0
Argentina,Japan,Asia,350,0,0,0,0,0,0
Argentina,Jordan,Asia,0,0,0,0,0,0,0
Argentina,Kazakhstan,Asia,0,0,0,0,0,0,0
Argentina,Kenya,Africa,0,0,0,0,0,0,0
Argentina,Kuwait,Asia,0,0,0,0,0,0,0
Argentina,Kyrgyzstan,Asia,0,0,0,0,0,0,0
Argentina,Latvia,Europe,0,0,0,0,0,0,0
Argentina,Lebanon,Asia,0,0,0,0,0,0,0
Argentina,Libya,Africa,0,0,0,0,0,0,0
Argentina,Lithuania,Europe,0,0,0,0,0,0,0
Argentina,Luxembourg,Europe,0,0,0,0,0,0,0
Argentina,"Macao SAR, China",Asia,0,0,0,0,0,0,0
Argentina,Malaysia,Asia,0,0,0,0,0,0,0
Argentina,Malta,Europe,0,0,0,0,0,0,0
Argentina,Mexico,Americas,0,0,0,0,0,0,0
Argentina,Morocco,Africa,0,0,0,0,0,0,0
Argentina,Netherlands,Europe,1300,550,660,0,480,690,0
Argentina,New Zealand,Oceania,1100,480,590,0,340,690,0
Argentina,Nigeria,Africa,320,0,0,0,0,0,0
Argentina,Cyprus.1,Other,0,0,0,0,0,0,0
Argentina,Norway,Europe,420,0,0,0,0,0,0
Argentina,Oman,Asia,0,0,0,0,0,0,0
Argentina,Pakistan,Asia,0,0,0,0,0,0,0
Argentina,Palestine,Asia,0,0,0,0,0,0,0
Argentina,Panama,Americas,1500,710,670,0,400,830,0
Argentina,Paraguay,Americas,3100,1500,1400,0,1200,1300,320
Argentina,Peru,Americas,9300,4800,3800,1200,5100,3600,630
Argentina,Philippines,Asia,380,0,0,0,0,0,0
Argentina,Poland,Europe,0,0,0,0,0,0,0
Argentina,Portugal,Europe,780,310,420,0,360,320,0
Argentina,Puerto Rico,Americas,0,0,0,0,0,0,0
Argentina,Qatar,Asia,0,0,0,0,0,0,0
Argentina,South korea,Other,0,0,0,0,0,0,0
Argentina,Romania,Europe,0,0,0,0,0,0,0
Argentina,Saudi Arabia,Asia,0,0,0,0,0,0,0
Argentina,Serbia,Europe,0,0,0,0,0,0,0
Argentina,Singapore,Asia,0,0,0,0,0,0,0
Argentina,Slovakia,Europe,0,0,0,0,0,0,0
Argentina,Slovenia,Europe,0,0,0,0,0,0,0
Argentina,South Africa,Africa,0,0,0,0,0,0,0
Argentina,Spain,Europe,25000,11000,13000,1300,8900,13000,2000
Argentina,Sri Lanka,Asia,0,0,0,0,0,0,0
Argentina,Sudan,Africa,0,0,0,0,0,0,0
Argentina,Sweden,Europe,480,0,0,0,0,0,0
Argentina,Switzerland,Europe,1300,600,650,0,340,770,0
Argentina,Taiwan,Asia,0,0,0,0,0,0,0
Argentina,Thailand,Asia,0,0,0,0,0,0,0
Argentina,Tunisia,Africa,0,0,0,0,0,0,0
Argentina,Türkiye,Asia,430,0,0,0,0,0,0
Argentina,Uganda,Africa,0,0,0,0,0,0,0
Argentina,Ukraine,Europe,0,0,0,0,0,0,0
Argentina,United Arab Emirates,Asia,890,440,370,0,310,460,0
Argentina,United Kingdom,Europe,6100,2400,3300,0,1700,3600,510
Argentina,United States of America,Americas,38000,17000,19000,2000,10000,20000,5700
Argentina,Uruguay,Americas,8000,3500,4000,660,2700,3900,820
Argentina,Uzbekistan,Asia,0,0,0,0,0,0,0
Argentina,Venezuela (Bolivarian Republic of),Americas,1700,740,690,0,670,680,0
Argentina,Viet Nam,Asia,0,0,0,0,0,0,0
Armenia,Argentina,Americas,0,0,0,0,0,0,0
Armenia,Armenia,Asia,0,0,0,0,0,0,0
Armenia,Australia,Oceania,0,0,0,0,0,0,0
Armenia,Austria,Europe,0,0,0,0,0,0,0
Armenia,Azerbaijan,Asia,0,0,0,0,0,0,0
Armenia,Bahrain,Asia,0,0,0,0,0,0,0
Armenia,Bangladesh,Asia,0,0,0,0,0,0,0
Armenia,Belarus,Europe,0,0,0,0,0,0,0
Armenia,Belgium,Europe,0,0,0,0,0,0,0
Armenia,Bosnia and Herzegovina,Europe,0,0,0,0,0,0,0
Armenia,Brazil,Americas,0,0,0,0,0,0,0
Armenia,Brunei Darussalam,Asia,0,0,0,0,0,0,0
Armenia,Bulgaria,Europe,0,0,0,0,0,0,0
Armenia,Canada,Americas,0,0,0,0,0,0,0
Armenia,Chile,Americas,0,0,0,0,0,0,0
Armenia,China (Mainland),Asia,0,0,0,0,0,0,0
Armenia,Colombia,Americas,0,0,0,0,0,0,0
Armenia,Costa Rica,Americas,0,0,0,0,0,0,0
Armenia,Croatia,Europe,0,0,0,0,0,0,0
Armenia,Cuba,Americas,0,0,0,0,0,0,0
Armenia,Cyprus,Asia,0,0,0,0,0,0,0
Armenia,Czechia,Europe,0,0,0,0,0,0,0
Armenia,Denmark,Europe,0,0,0,0,0,0,0
Armenia,Dominican Republic,Americas,0,0,0,0,0,0,0
Armenia,Ecuador,Americas,0,0,0,0,0,0,0
Armenia,Egypt,Africa,0,0,0,0,0,0,0
Armenia,Estonia,Europe,0,0,0,0,0,0,0
Armenia,Ethiopia,Africa,0,0,0,0,0,0,0
Armenia,Finland,Europe,0,0,0,0,0,0,0
Armenia,France,Europe,0,0,0,0,0,0,0
Armenia,Georgia,Asia,0,0,0,0,0,0,0
Armenia,Germany,Europe,0,0,0,0,0,0,0
Armenia,Ghana,Africa,0,0,0,0,0,0,0
Armenia,Greece,Europe,0,0,0,0,0,0,0
Armenia,Guatemala,Americas,0,0,0,0,0,0,0
Armenia,Honduras,Americas,0,0,0,0,0,0,0
Armenia,"Hong Kong SAR, China",Asia,0,0,0,0,0,0,0
Armenia,Hungary,Europe,0,0,0,0,0,0,0
Armenia,Iceland,Europe,0,0,0,0,0,0,0
Armenia,India,Asia,0,0,0,0,0,0,0
Armenia,Indonesia,Asia,0,0,0,0,0,0,0
Armenia,Iraq,Asia,0,0,0,0,0,0,0
Armenia,Ireland,Europe,0,0,0,0,0,0,0
Armenia,Israel,Asia,0,0,0,0,0,0,0
Armenia,Italy,Europe,0,0,0,0,0,0,0
Armenia,Japan,Asia,0,0,0,0,0,0,0
Armenia,Jordan,Asia,0,0,0,0,0,0,0
Armenia,Kazakhstan,Asia,0,0,0,0,0,0,0
Armenia,Kenya,Africa,0,0,0,0,0,0,0
Armenia,Kuwait,Asia,0,0,0,0,0,0,0
Armenia,Kyrgyzstan,Asia,0,0,0,0,0,0,0
Armenia,Latvia,Europe,0,0,0,0,0,0,0
Armenia,Lebanon,Asia,0,0,0,0,0,0,0
Armenia,Libya,Africa,0,0,0,0,0,0,0
Armenia,Lithuania,Europe,0,0,0,0,0,0,0
Armenia,Luxembourg,Europe,0,0,0,0,0,0,0
Armenia,"Macao SAR, China",Asia,0,0,0,0,0,0,0
Armenia,Malaysia,Asia,0,0,0,0,0,0,0
Armenia,Malta,Europe,0,0,0,0,0,0,0
Armenia,Mexico,Americas,0,0,0,0,0,0,0
Armenia,Morocco,Africa,0,0,0,0,0,0,0
Armenia,Netherlands,Europe,0,0,0,0,0,0,0
Armenia,New Zealand,Oceania,0,0,0,0,0,0,0
Armenia,Nigeria,Africa,0,0,0,0,0,0,0
Armenia,Cyprus.1,Other,0,0,0,0,0,0,0
Armenia,Norway,Europe,0,0,0,0,0,0,0
Armenia,Oman,Asia,0,0,0,0,0,0,0
Armenia,Pakistan,Asia,0,0,0,0,0,0,0
Armenia,Palestine,Asia,0,0,0,0,0,0,0
Armenia,Panama,Americas,0,0,0,0,0,0,0
Armenia,Paraguay,Americas,0,0,0,0,0,0,0
Armenia,Peru,Americas,0,0,0,0,0,0,0
Armenia,Philippines,Asia,0,0,0,0,0,0,0
Armenia,Poland,Europe,0,0,0,0,0,0,0
Armenia,Portugal,Europe,0,0,0,0,0,0,0
Armenia,Puerto Rico,Americas,0,0,0,0,0,0,0
Armenia,Qatar,Asia,0,0,0,0,0,0,0
Armenia,South korea,Other,0,0,0,0,0,0,0
Armenia,Romania,Europe,0,0,0,0,0,0,0
Armenia,Saudi Arabia,Asia,0,0,0,0,0,0,0
Armenia,Serbia,Europe,0,0,0,0,0,0,0
Armenia,Singapore,Asia,0,0,0,0,0,0,0
Armenia,Slovakia,Europe,0,0,0,0,0,0,0
Armenia,Slovenia,Europe,0,0,0,0,0,0,0
Armenia,South Africa,Africa,0,0,0,0,0,0,0
Armenia,Spain,Europe,0,0,0,0,0,0,0
Armenia,Sri Lanka,Asia,0,0,0,0,0,0,0
Armenia,Sudan,Africa,0,0,0,0,0,0,0
Armenia,Sweden,Europe,0,0,0,0,0,0,0
Armenia,Switzerland,Europe,0,0,0,0,0,0,0
Armenia,Taiwan,Asia,0,0,0,0,0,0,0
Armenia,Thailand,Asia,0,0,0,0,0,0,0
Armenia,Tunisia,Africa,0,0,0,0,0,0,0
Armenia,Türkiye,Asia,0,0,0,0,0,0,0
Armenia,Uganda,Africa,0,0,0,0,0,0,0
Armenia,Ukraine,Europe,0,0,0,0,0,0,0
Armenia,United Arab Emirates,Asia,0,0,0,0,0,0,0
Armenia,United Kingdom,Europe,0,0,0,0,0,0,0
Armenia,United States of America,Americas,0,0,0,0,0,0,0
Armenia,Uruguay,Americas,0,0,0,0,0,0,0
Armenia,Uzbekistan,Asia,0,0,0,0,0,0,0
Armenia,Venezuela (Bolivarian Republic of),Americas,0,0,0,0,0,0,0
Armenia,Viet Nam,Asia,0,0,0,0,0,0,0
Australia,Argentina,Americas,2200,830,670,380,1000,730,0
Australia,Armenia,Asia,0,0,0,0,0,0,0
Australia,Australia,Oceania,0,0,0,0,0,0,0
Australia,Austria,Europe,1100,510,510,0,370,570,0
Australia,Azerbaijan,Asia,0,0,0,0,0,0,0
Australia,Bahrain,Asia,690,450,0,0,0,420,0
Australia,Bangladesh,Asia,9100,4900,1800,2200,3400,3300,0
Australia,Belarus,Europe,0,0,0,0,0,0,0
Australia,Belgium,Europe,950,410,410,0,410,410,0
Australia,Bosnia and Herzegovina,Europe,0,0,0,0,0,0,0
Australia,Brazil,Americas,12000,5300,3900,1400,6100,3900,360
Australia,Brunei Darussalam,Asia,1400,580,540,510,760,0,0
Australia,Bulgaria,Europe,0,0,0,0,0,0,0
Australia,Canada,Americas,43000,19000,19000,3200,15000,23000,2900
Australia,Chile,Americas,4100,1900,1400,350,1400,2200,0
Australia,China (Mainland),Asia,43000,12000,13000,2800,22000,17000,1100
Australia,Colombia,Americas,4500,2200,1700,440,1600,2300,0
Australia,Costa Rica,Americas,490,0,0,0,0,0,0
Australia,Croatia,Europe,0,0,0,0,0,0,0
Australia,Cuba,Americas,0,0,0,0,0,0,0
Australia,Cyprus,Asia,0,0,0,0,0,0,0
Australia,Czechia,Europe,450,0,0,0,0,0,0
Australia,Denmark,Europe,5000,2100,2500,640,2300,1900,0
Australia,Dominican Republic,Americas,320,0,0,0,0,0,0
Australia,Ecuador,Americas,1300,560,420,0,550,590,0
Australia,Egypt,Africa,1700,920,500,390,610,630,0
Australia,Estonia,Europe,0,0,0,0,0,0,0
Australia,Ethiopia,Africa,650,0,0,0,0,0,0
Australia,Finland,Europe,870,0,390,0,0,500,0
Australia,France,Europe,7300,3100,3400,1000,2700,3300,0
Australia,Georgia,Asia,0,0,0,0,0,0,0
Australia,Germany,Europe,10000,5200,4200,710,3800,5200,350
Australia,Ghana,Africa,3200,2200,550,0,730,2000,0
Australia,Greece,Europe,490,0,0,0,0,0,0
Australia,Guatemala,Americas,0,0,0,0,0,0,0
Australia,Honduras,Americas,0,0,0,0,0,0,0
Australia,"Hong Kong SAR, China",Asia,50000,23000,20000,3900,16000,27000,2700
Australia,Hungary,Europe,0,0,0,0,0,0,0
Australia,Iceland,Europe,0,0,0,0,0,0,0
Australia,India,Asia,49000,29000,12000,11000,18000,19000,1400
Australia,Indonesia,Asia,50000,19000,17000,7900,18000,21000,2300
Australia,Iraq,Asia,670,380,0,0,0,310,0
Australia,Ireland,Europe,1800,820,820,0,580,920,0
Australia,Israel,Asia,1900,1000,700,0,470,1000,320
Australia,Italy,Europe,2700,1200,1400,0,990,1300,0
Australia,Japan,Asia,13000,5400,3800,1300,4300,6200,780
Australia,Jordan,Asia,810,500,0,0,0,480,0
Australia,Kazakhstan,Asia,400,0,0,0,0,0,0
Australia,Kenya,Africa,4400,2100,1500,950,1400,1900,0
Australia,Kuwait,Asia,1300,870,310,650,530,0,0
Australia,Kyrgyzstan,Asia,0,0,0,0,0,0,0
Australia,Latvia,Europe,0,0,0,0,0,0,0
Australia,Lebanon,Asia,540,0,0,0,0,0,0
Australia,Libya,Africa,0,0,0,0,0,0,0
Australia,Lithuania,Europe,0,0,0,0,0,0,0
Australia,Luxembourg,Europe,0,0,0,0,0,0,0
Australia,"Macao SAR, China",Asia,1800,810,760,0,780,850,0
Australia,Malaysia,Asia,70000,29000,27000,6500,26000,33000,3900
Australia,Malta,Europe,0,0,0,0,0,0,0
Australia,Mexico,Americas,7400,3500,2900,1200,3200,2900,0
Australia,Morocco,Africa,2300,730,470,340,1200,740,0
Australia,Netherlands,Europe,4900,2000,2400,610,2000,2000,0
Australia,New Zealand,Oceania,19000,8900,8600,1100,4600,11000,3000
Australia,Nigeria,Africa,4600,2100,1200,850,1700,1800,0
Australia,Cyprus.1,Other,0,0,0,0,0,0,0
Australia,Norway,Europe,8100,3100,3800,760,2600,4500,0
Australia,Oman,Asia,2300,1400,570,930,1100,0,0
Australia,Pakistan,Asia,9300,6400,1600,2200,3500,3300,320
Australia,Palestine,Asia,0,0,0,0,0,0,0
Australia,Panama,Americas,0,0,0,0,0,0,0
Australia,Paraguay,Americas,0,0,0,0,0,0,0
Australia,Peru,Americas,3600,1100,710,740,2000,830,0
Australia,Philippines,Asia,7000,3000,2700,1000,2400,2900,670
Australia,Poland,Europe,600,0,0,0,0,300,0
Australia,Portugal,Europe,590,0,0,0,0,300,0
Australia,Puerto Rico,Americas,0,0,0,0,0,0,0
Australia,Qatar,Asia,1800,1100,480,0,490,1000,0
Australia,South korea,Other,8200,2200,2400,630,3300,4000,0
Australia,Romania,Europe,0,0,0,0,0,0,0
Australia,Saudi Arabia,Asia,15000,11000,2400,1000,5700,7500,420
Australia,Serbia,Europe,510,0,0,0,0,0,0
Australia,Singapore,Asia,160000,64000,70000,17000,58000,76000,6500
Australia,Slovakia,Europe,0,0,0,0,0,0,0
Australia,Slovenia,Europe,0,0,0,0,0,0,0
Australia,South Africa,Africa,6900,3000,2300,730,2700,2800,640
Australia,Spain,Europe,3100,1400,1500,550,1100,1400,0
Australia,Sri Lanka,Asia,14000,3300,2700,5300,5000,3600,310
Australia,Sudan,Africa,0,0,0,0,0,0,0
Australia,Sweden,Europe,6900,2900,3600,350,1900,4300,0
Australia,Switzerland,Europe,3700,1900,1600,0,1100,2100,0
Australia,Taiwan,Asia,8500,3000,3100,570,2600,5000,0
Australia,Thailand,Asia,14000,2900,1900,900,4000,8500,970
Australia,Tunisia,Africa,390,0,0,0,0,0,0
Australia,Türkiye,Asia,3600,1800,960,430,1400,1600,0
Australia,Uganda,Africa,1300,440,0,550,350,320,0
Australia,Ukraine,Europe,950,360,370,0,400,390,0
Australia,United Arab Emirates,Asia,19000,10000,6200,1800,5800,10000,1100
Australia,United Kingdom,Europe,83000,35000,41000,5900,32000,40000,6000
Australia,United States of America,Americas,200000,79000,100000,14000,62000,110000,14000
Australia,Uruguay,Americas,440,0,0,0,0,0,0
Australia,Uzbekistan,Asia,0,0,0,0,0,0,0
Australia,Venezuela (Bolivarian Republic of),Americas,420,0,0,0,0,0,0
Australia,Viet Nam,Asia,0,0,0,0,0,0,0
Austria,Argentina,Americas,0,0,0,0,0,0,0
Austria,Armenia,Asia,0,0,0,0,0,0,0
Austria,Australia,Oceania,1600,630,890,0,690,680,0
Austria,Austria,Europe,0,0,0,0,0,0,0
Austria,Azerbaijan,Asia,0,0,0,0,0,0,0
Austria,Bahrain,Asia,0,0,0,0,0,0,0
Austria,Bangladesh,Asia,0,0,0,0,0,0,0
Austria,Belarus,Europe,0,0,0,0,0,0,0
Austria,Belgium,Europe,960,390,480,0,410,410,0
Austria,Bosnia and Herzegovina,Europe,480,0,0,0,0,0,0
Austria,Brazil,Americas,610,0,0,0,0,0,0
Austria,Brunei Darussalam,Asia,0,0,0,0,0,0,0
Austria,Bulgaria,Europe,450,0,0,0,0,0,0
Austria,Canada,Americas,1600,700,780,0,600,760,0
Austria,Chile,Americas,0,0,0,0,0,0,0
Austria,China (Mainland),Asia,440,0,0,0,0,0,0
Austria,Colombia,Americas,0,0,0,0,0,0,0
Austria,Costa Rica,Americas,330,0,0,0,0,0,0
Austria,Croatia,Europe,390,0,0,0,0,0,0
Austria,Cuba,Americas,0,0,0,0,0,0,0
Austria,Cyprus,Asia,0,0,0,0,0,0,0
Austria,Czechia,Europe,750,0,310,0,0,400,0
Austria,Denmark,Europe,520,0,0,0,0,0,0
Austria,Dominican Republic,Americas,0,0,0,0,0,0,0
Austria,Ecuador,Americas,0,0,0,0,0,0,0
Austria,Egypt,Africa,0,0,0,0,0,0,0
Austria,Estonia,Europe,0,0,0,0,0,0,0
Austria,Ethiopia,Africa,0,0,0,0,0,0,0
Austria,Finland,Europe,820,0,390,0,0,430,0
Austria,France,Europe,1800,690,950,370,720,630,0
Austria,Georgia,Asia,0,0,0,0,0,0,0
Austria,Germany,Europe,12000,5800,5300,940,5000,4800,980
Austria,Ghana,Africa,0,0,0,0,0,0,0
Austria,Greece,Europe,400,0,0,0,0,0,0
Austria,Guatemala,Americas,0,0,0,0,0,0,0
Austria,Honduras,Americas,0,0,0,0,0,0,0
Austria,"Hong Kong SAR, China",Asia,430,0,0,0,0,0,0
Austria,Hungary,Europe,740,0,0,0,300,320,0
Austria,Iceland,Europe,0,0,0,0,0,0,0
Austria,India,Asia,450,0,0,0,0,0,0
Austria,Indonesia,Asia,0,0,0,0,0,0,0
Austria,Iraq,Asia,0,0,0,0,0,0,0
Austria,Ireland,Europe,340,0,0,0,0,0,0
Austria,Israel,Asia,0,0,0,0,0,0,0
Austria,Italy,Europe,3800,1700,2000,380,1500,1500,310
Austria,Japan,Asia,380,0,0,0,0,0,0
Austria,Jordan,Asia,0,0,0,0,0,0,0
Austria,Kazakhstan,Asia,0,0,0,0,0,0,0
Austria,Kenya,Africa,0,0,0,0,0,0,0
Austria,Kuwait,Asia,0,0,0,0,0,0,0
Austria,Kyrgyzstan,Asia,0,0,0,0,0,0,0
Austria,Latvia,Europe,0,0,0,0,0,0,0
Austria,Lebanon,Asia,0,0,0,0,0,0,0
Austria,Libya,Africa,0,0,0,0,0,0,0
Austria,Lithuania,Europe,0,0,0,0,0,0,0
Austria,Luxembourg,Europe,530,0,0,0,0,0,0
Austria,"Macao SAR, China",Asia,0,0,0,0,0,0,0
Austria,Malaysia,Asia,0,0,0,0,0,0,0
Austria,Malta,Europe,0,0,0,0,0,0,0
Austria,Mexico,Americas,610,320,0,0,0,0,0
Austria,Morocco,Africa,0,0,0,0,0,0,0
Austria,Netherlands,Europe,1100,470,540,0,440,460,0
Austria,New Zealand,Oceania,0,0,0,0,0,0,0
Austria,Nigeria,Africa,0,0,0,0,0,0,0
Austria,Cyprus.1,Other,0,0,0,0,0,0,0
Austria,Norway,Europe,370,0,0,0,0,0,0
Austria,Oman,Asia,0,0,0,0,0,0,0
Austria,Pakistan,Asia,0,0,0,0,0,0,0
Austria,Palestine,Asia,0,0,0,0,0,0,0
Austria,Panama,Americas,0,0,0,0,0,0,0
Austria,Paraguay,Americas,0,0,0,0,0,0,0
Austria,Peru,Americas,0,0,0,0,0,0,0
Austria,Philippines,Asia,0,0,0,0,0,0,0
Austria,Poland,Europe,880,320,470,0,0,490,0
Austria,Portugal,Europe,420,0,0,0,0,0,0
Austria,Puerto Rico,Americas,0,0,0,0,0,0,0
Austria,Qatar,Asia,0,0,0,0,0,0,0
Austria,South korea,Other,0,0,0,0,0,0,0
Austria,Romania,Europe,420,0,0,0,0,0,0
Austria,Saudi Arabia,Asia,0,0,0,0,0,0,0
Austria,Serbia,Europe,610,0,310,330,0,0,0
Austria,Singapore,Asia,310,0,0,0,0,0,0
Austria,Slovakia,Europe,510,0,0,0,0,0,0
Austria,Slovenia,Europe,380,0,0,0,0,0,0
